age,gender,class,Fav Subject,Mrks in Maths,Mrks in Science,Mrks in History,Mrks in geography,Mrks in English,Mrks in Marathi,Mrks in Hindi,Mrks in Computer
7,m,2,Computer,54,68,91,64,98,40,60,69
12,f,7,English,89,42,77,43,36,38,72,53
10,m,5,Hindi,59,37,89,69,98,57,35,99
12,m,7,History,83,72,81,94,67,77,70,93
7,f,2,Marathi,92,51,80,76,41,74,64,92
10,f,5,History,98,67,83,86,51,56,38,100
9,m,4,History,96,91,55,63,83,53,43,45
9,m,4,Geography,56,42,46,63,91,67,68,93
15,f,10,Hindi,56,71,98,88,42,60,51,44
15,m,10,Geography,67,76,73,46,73,64,49,60
11,m,6,Marathi,44,47,87,88,50,47,39,53
12,m,7,Marathi,61,55,84,73,66,87,36,56
12,f,7,Marathi,55,42,75,49,92,64,100,47
10,m,5,Computer,76,70,99,65,51,85,97,35
11,f,6,Maths,75,96,92,60,50,58,51,37
9,m,4,Maths,81,54,51,43,48,50,74,91
8,f,3,Geography,36,92,73,65,90,38,42,49
8,f,3,Computer,98,44,62,67,79,47,56,54
14,m,9,Maths,36,58,70,83,72,73,58,71
14,m,9,English,66,35,53,59,58,70,39,66
13,m,8,Geography,61,76,52,54,40,53,48,48
8,f,3,Hindi,95,62,37,69,63,43,78,74
8,f,3,Geography,73,39,35,48,57,77,66,56
9,m,4,Maths,41,77,83,79,91,78,40,73
12,f,7,Hindi,93,58,73,45,93,86,36,68
9,m,4,Computer,83,63,51,73,84,42,67,37
13,m,8,English,84,85,71,86,45,86,57,70
8,f,3,Marathi,35,59,40,89,58,84,47,67
10,f,5,Maths,72,62,41,77,81,67,73,47
6,m,1,Computer,99,63,51,94,58,75,100,62
6,m,1,Maths,39,48,97,56,73,69,93,45
10,f,5,Hindi,74,88,91,98,38,77,46,70
10,m,5,English,88,70,51,71,91,54,94,35
8,m,3,Geography,52,67,52,95,89,38,61,74
6,m,1,Marathi,56,56,85,77,94,63,63,100
15,f,10,English,67,74,36,37,54,91,43,89
14,m,9,Maths,54,85,95,40,38,39,80,71
9,f,4,Hindi,82,74,36,64,46,90,60,47
12,m,7,Computer,80,51,92,66,97,91,93,94
14,f,9,Science,75,52,38,75,72,45,92,49
9,f,4,Computer,36,67,81,36,90,72,80,93
12,m,7,Hindi,59,55,73,77,35,87,71,52
12,m,7,Computer,84,68,41,54,44,66,88,61
10,m,5,Marathi,89,96,77,46,82,86,98,71
8,f,3,Marathi,48,59,60,35,52,84,82,85
11,f,6,English,79,92,98,36,40,63,42,35
7,m,2,Maths,60,82,35,62,82,85,41,39
10,f,5,Hindi,45,74,58,53,73,48,36,43
12,m,7,Maths,65,36,71,45,75,55,74,56
14,m,9,History,46,60,80,61,97,84,97,78
15,f,10,Geography,38,46,53,52,68,60,46,44
10,f,5,Computer,64,57,37,76,42,62,86,81
8,m,3,Geography,90,67,41,69,95,44,86,39
13,m,8,Computer,76,76,58,91,45,41,44,97
15,f,10,Hindi,99,41,67,56,78,41,36,45
9,m,4,Maths,56,97,99,74,63,39,91,44
13,m,8,Marathi,94,82,92,63,48,65,96,37
14,m,9,Hindi,79,97,80,78,50,79,74,50
13,f,8,Marathi,55,42,49,53,71,95,44,81
